locus_id,population,ra,dec,n_det,num_mag_values,num_alerts,timespan_d,brightest_mag,n_distinct_ssname,frac_det_ssname,mag_minus_ssmagnr,ndethist_med,distnr_med_as,hist_span_d,stellar_cats,galaxy_cats,var_cats,tags,verdict,reason
ANT2020aszhy,alerted,209.78113,-16.70803,706,706,1369,2765.6,17.87,7,0.01,1.49,636,0.31,2396.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;csdr2;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;csdr2;gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020atfbw,alerted,220.76857,-27.21922,200,200,469,2597.0,17.92,2,0.01,2.24,150.5,0.25,1219.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;csdr2;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;csdr2;gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020au5dq,alerted,266.97005,-12.20388,835,835,1060,2728.7,12.26,2,0.0,5.09,964.0,0.1,2592.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;matheson_extreme_vpdf;recent_reddening;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020auyng,alerted,264.1732,-10.24654,405,405,1201,2672.8,15.24,3,0.01,1.88,668.0,0.23,2336.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020av7ok,alerted,265.76241,-6.98999,710,710,1016,2728.7,12.45,1,0.0,6.29,701.5,0.13,2593.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability,high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020avbu2,alerted,268.9593,-12.79672,868,868,1031,2728.7,12.47,4,0.01,4.7,1273.5,0.26,2571.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020avcf6,alerted,269.72957,-11.99249,267,266,919,2901.9,17.09,2,0.01,3.52,337,1.28,2276.0,gaia_dr2;gaia_dr3_gaia_source,,,lc_feature_extractor;sso_candidates,STATIONARY_UNTYPED,"fixed-position source: deep history and/or reference counterpart, no variability catalogue"
ANT2020avcv2,alerted,268.89647,-13.14644,385,379,856,2658.8,15.55,5,0.01,4.61,629,0.35,2850.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,gaia_dr3_variability,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020avdsy,alerted,268.95453,-13.05593,898,898,1032,2705.7,12.96,2,0.0,3.44,1235,0.1,2588.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;recent_reddening;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020ax6eg,alerted,298.59848,8.00498,1847,1847,2690,2949.0,11.28,1,0.0,5.39,2254,0.17,2302.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020azj3i,alerted,311.53607,-5.71384,447,447,1040,2891.0,17.63,3,0.01,2.61,641.5,0.19,2266.0,2mass_psc;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;sdss_stars;vsx,,gaia_dr3_variability;vsx,high_flux_ratio_wrt_nn;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020b2a66,alerted,279.12205,-17.34295,396,395,827,2648.9,14.38,5,0.02,2.61,463.5,0.2,2624.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,gaia_dr3_variability,high_flux_ratio_wrt_nn;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020b2nla,alerted,288.99363,4.15094,926,926,1573,2956.9,15.7,1,0.0,3.16,849.0,0.29,2590.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;vsx,,vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020b2nsg,alerted,285.10686,-14.06952,519,519,967,2675.9,14.35,5,0.01,4.95,549.5,0.31,2530.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,gaia_dr3_variability,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
